Algorithm,Mean_km,Std_km,Min_km,Max_km
Greedy NN,820.8374073063721,2.2737367544323206e-13,820.8374073063724,820.8374073063724
2-Opt,806.8379179562896,2.2737367544323206e-13,806.8379179562894,806.8379179562894
Simulated Annealing,841.966205340335,27.744062300384705,803.5115539402299,952.0974330170957
QAOA Monte Carlo Surrogate,1777.7949102548023,65.3998183631922,1602.7473722784896,1885.0942966409084
Hybrid QAOA + 2-Opt,828.5549262107044,2.2737367544323206e-13,828.5549262107041,828.5549262107041
