name,hardness,betweenness,closeness,degree
Kausani,0.9525885295207159,0.28571428571428575,0.00971732558989739,0.42857142857142855
Pauri,0.8713143710209168,0.28571428571428575,0.009072347538203565,0.47619047619047616
Lansdowne,0.6144567984235871,0.1142857142857143,0.009125987276506138,0.3333333333333333
Chamoli,0.5369926849338771,0.08095238095238096,0.00982845845853541,0.2857142857142857
Ramnagar,0.5273850845597063,0.1142857142857143,0.009019947945540814,0.23809523809523808
Almora,0.5178070226702564,0.05714285714285715,0.009691264068496156,0.38095238095238093
Joshimath,0.49680973408771323,0.10952380952380954,0.008518554934506976,0.23809523809523808
Nainital,0.48697662512793144,0.0761904761904762,0.009296334913717936,0.2857142857142857
Binsar,0.4469564631726534,0.04285714285714286,0.009543230371882108,0.38095238095238093
Jim Corbett,0.43581098293243514,0.08571428571428572,0.008953967744854855,0.23809523809523808
Pithoragarh,0.43267193981601243,0.09523809523809525,0.007219433749756952,0.2857142857142857
Haldwani,0.3300217155279499,0.06190476190476191,0.008326583112754058,0.23809523809523808
Bageshwar,0.2680125597765116,0.0,0.00923798088796047,0.2857142857142857
Gangotri,0.2646373631316974,0.08095238095238096,0.006605104122581304,0.23809523809523808
Chopta,0.24252404702401975,0.0,0.009716358625626392,0.23809523809523808
Mussoorie,0.1819833915228805,0.05238095238095239,0.0061513198023457165,0.23809523809523808
Kedarnath,0.12864992548612275,0.0,0.008008832653727533,0.23809523809523808
Rishikesh,0.1258060834659393,0.0,0.007575019520562874,0.23809523809523808
Haridwar,0.12244002309793763,0.0,0.0073159218577165735,0.2857142857142857
Dharchula,0.09608695601473535,0.05714285714285715,0.006079745640070079,0.23809523809523808
Munsyari,0.0952565931678313,0.0,0.0067257642012022315,0.23809523809523808
Dehradun,0.03781905415438269,0.0,0.0063860567946091825,0.23809523809523808
