Regime,n_cities,AQP_km,Greedy_km,2Opt_km,Approx_Ratio,Time_ms,Circuit_Evals
4-city,4,128.6610913776953,128.6610913776953,128.6610913776953,1.0,24939.270400001988,1097
8-city,8,501.81327951089764,549.3422285442043,501.81327951089764,1.0,200512.42469999852,2537
